BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"","JuanBoubeta-Puig2015","Juan Boubeta-Puig,  Javier Cubo, Adrián Nieto Pérez Guadalupe Ortiz and Ernesto Pimentel","Propuesta de una arquitectura de dispositivos como servicios con procesamiento de eventos","",,,"","",2015,"","","","JCIS","","","","","","","","","","","","","","","",""
6,"","Munoz2015","Muñoz, Jesús Bermejo","What are the Three Top Challenges in Service Engineering?","",,,"","",2015,"","","","JCIS","","","","","","","","","","","","","","","",""
6,"","OctavioMartin-Diaz2015","Octavio Martín-Díaz,  Pablo Fernandez,  Jose Maria Garcia and Antonio Ruiz-Cortés","Towards a Comprehensive Purchasing Model for Cloud Services","",,,"","",2015,"","","https://drive.google.com/file/d/0B777mNcRbpXNX3Z5aWlHcGh2SkE/view?usp=sharing","JCIS","","","","","","","","","","","","","","","",""
